match_key,item_key,item_position
1,3871,0
1,6653,1
1,3020,2
1,3916,3
1,3135,4
1,3116,5
1,3364,6
2,3871,0
2,6653,1
2,3020,2
2,3116,3
2,3916,4
2,3135,5
2,3364,6
3,3871,0
3,4630,1
3,6653,2
3,3116,3
3,3020,4
3,3916,5
3,3364,6
4,3871,0
4,6653,1
4,3116,2
4,1052,3
4,3020,4
4,3364,6
5,3867,0
5,2031,1
5,3179,2
5,1001,3
5,3340,6
6,3876,0
6,3047,1
6,3075,2
6,3742,3
6,2055,4
6,3066,5
6,3364,6
7,3876,0
7,2033,1
7,6657,2
7,3111,3
7,3024,4
7,3082,5
7,3340,6
8,3157,0
8,3871,1
8,3020,2
8,3916,3
8,3116,4
8,1052,5
8,3364,6
9,3877,0
9,3134,1
9,3009,2
9,3340,6
10,3871,0
10,3118,1
10,3020,2
10,3116,3
10,3340,6
11,3871,0
11,1031,1
11,3066,2
11,6657,3
11,4401,4
11,3117,5
11,3364,6
12,3865,0
12,2003,1
12,3340,6
13,3871,0
13,3135,1
13,3116,2
13,6653,3
13,3020,4
13,3916,5
13,3364,6
14,3877,0
14,3076,1
14,3742,2
14,3047,3
14,3066,4
14,2055,5
14,3364,6
15,3871,0
15,6653,1
15,3020,2
15,2055,3
15,3364,6
16,3877,0
16,3142,1
16,2055,2
16,3033,3
16,3031,4
16,3009,5
16,3364,6
17,3877,0
17,3047,1
17,3742,2
17,3143,3
17,4401,4
17,3075,5
17,3364,6
18,1102,0
18,3006,1
18,1043,2
18,1037,4
18,1053,5
18,3340,6
19,3871,0
19,2055,1
19,6653,2
19,3070,3
19,3020,4
19,3916,5
19,3364,6
20,3876,0
20,1031,1
20,6660,2
20,3076,3
20,3742,4
20,3111,5
20,3364,6
21,1102,0
21,6655,1
21,3066,2
21,3076,3
21,1031,4
21,3020,5
21,3364,6
22,3876,0
22,3157,1
22,3020,2
22,6655,3
22,3075,4
22,3364,6
23,3876,0
23,2502,1
23,1033,2
23,3111,3
23,3068,4
23,3076,5
23,3364,6
24,3877,0
24,3066,1
24,2031,2
24,3111,3
24,1028,4
24,2055,5
24,3364,6
25,3871,0
25,6653,1
25,3916,2
25,4630,3
25,3020,4
25,3116,5
25,3364,6
26,3876,0
26,1004,1
26,2055,2
26,3114,3
26,3070,4
26,6617,5
26,3364,6
27,3877,0
27,3009,1
27,4401,2
27,2055,3
27,3076,4
27,3066,5
27,3364,6
28,3748,0
28,3078,1
28,3075,2
28,3009,3
28,6694,4
28,3211,5
28,3340,6
29,3877,0
29,3742,1
29,3084,2
29,3047,3
29,3075,4
29,1033,5
29,3364,6
30,1056,0
30,3076,1
30,2055,2
30,3078,3
30,3047,4
30,1028,5
30,3340,6
31,3877,0
31,3801,1
31,3047,2
31,1028,3
31,3364,6
32,3865,0
32,2003,1
32,3340,6
33,3135,0
33,3020,1
33,3116,2
33,3916,3
33,6653,5
33,3340,6
34,1054,0
34,3161,1
34,3078,2
34,3133,3
34,3111,5
34,3340,6
35,3074,0
35,3078,1
35,3009,2
35,3123,3
35,6694,4
35,3161,5
35,3340,6
36,6694,0
36,3078,1
36,3047,2
36,6610,3
36,3211,4
36,1028,5
36,3340,6
37,1054,0
37,3111,1
37,3033,2
37,3153,3
37,3364,6
38,3089,0
38,3165,1
38,3020,2
38,6653,3
38,3135,4
38,3116,5
38,3364,6
39,3074,0
39,3078,1
39,3009,2
39,6694,3
39,3742,5
39,3340,6
40,3135,0
40,6653,1
40,3116,2
40,3020,3
40,3165,4
40,3089,5
40,3340,6
41,1054,0
41,3078,2
41,3009,3
41,3161,4
41,3076,5
41,3340,6
