match_key,champion_key,date_key,queue_key,rune_key,win,kills,deaths,assists,kda,cs_total,cs_per_minute,gold_earned,gold_per_minute,damage_dealt,damage_per_minute,damage_taken,vision_score,wards_placed,wards_killed,control_wards_purchased,kill_participation,double_kills,triple_kills,quadra_kills,penta_kills,game_duration_minutes
1,1,1,1,1,1,10,2,15,12.5,64,2.46,11641,448.02,22420,862.86,12685,35,17,3,4,0.641,1,0,0,0,25.98
2,1,2,1,2,0,11,7,7,2.57,78,2.72,11899,415.32,40279,1405.9,21114,37,20,0,1,0.581,2,1,0,0,28.65
3,1,2,1,3,1,2,4,20,5.5,57,1.66,10335,300.15,25466,739.57,21453,59,21,3,3,0.524,0,0,0,0,34.43
4,1,2,1,4,1,8,2,13,10.5,76,2.82,10557,391.73,22309,827.79,14117,40,21,1,1,0.5,0,0,0,0,26.95
5,2,2,1,5,0,1,4,3,1.0,18,1.14,4168,262.97,3619,228.33,8406,11,9,0,2,0.4,0,0,0,0,15.85
6,3,3,1,6,1,2,0,21,23.0,47,1.98,9780,411.5,13954,587.12,13161,37,16,4,6,0.742,0,0,0,0,23.77
7,3,4,1,7,0,4,4,3,1.75,37,1.96,6873,364.29,7550,400.18,12782,26,13,3,1,0.778,1,0,0,0,18.87
8,4,4,1,8,0,2,8,8,1.25,56,1.76,9681,303.64,18880,592.16,24792,49,20,5,1,0.526,0,0,0,0,31.88
9,2,5,1,9,0,1,0,2,3.0,35,1.84,5434,286.25,10066,530.25,3838,24,11,2,1,0.75,0,0,0,0,18.98
10,1,5,1,10,1,1,5,13,2.8,58,2.33,8218,330.7,13990,562.98,10437,36,25,0,1,0.368,0,0,0,0,24.85
11,5,6,1,11,0,5,6,12,2.83,48,1.53,9834,313.85,14011,447.16,38749,54,33,2,8,0.567,0,0,0,0,31.33
12,5,6,1,12,0,0,0,0,0.0,0,0.0,507,271.61,0,0.0,0,1,1,0,0,0,0,0,0,0,1.87
13,4,7,1,13,0,7,8,7,1.75,104,2.63,12436,314.3,31827,804.39,31755,92,39,7,4,0.368,0,0,0,0,39.57
14,3,7,1,14,0,4,1,4,8.0,67,2.67,7514,299.16,11949,475.74,12348,48,22,8,7,0.571,1,0,0,0,25.12
15,1,8,1,15,1,1,0,5,6.0,44,2.53,5098,293.27,9175,527.8,2145,32,15,4,5,0.333,0,0,0,0,17.38
16,2,8,1,16,0,7,6,14,3.5,79,2.05,12709,329.39,24054,623.43,25079,73,36,6,11,0.636,0,0,0,0,38.58
17,3,9,1,17,1,16,5,28,8.8,78,2.09,15720,421.07,35962,963.27,44719,73,32,4,2,0.786,2,0,0,0,37.33
18,6,10,1,18,0,2,6,3,0.83,67,4.28,4926,314.43,5883,375.51,13794,16,6,0,1,0.714,1,0,0,0,15.67
19,1,11,1,19,1,1,1,8,9.0,37,1.74,6138,289.07,16930,797.33,9267,26,13,3,3,0.391,0,0,0,0,21.23
20,7,11,1,20,0,2,8,12,1.75,73,2.02,8997,249.57,13556,376.03,42841,86,40,5,10,0.368,0,0,0,0,36.05
21,8,12,1,21,0,3,9,5,0.89,89,2.92,7985,262.23,7000,229.89,23306,25,7,6,6,0.276,0,0,0,0,30.45
22,8,12,1,22,0,4,10,12,1.6,78,1.97,11110,280.79,15230,384.92,36291,60,23,2,3,0.571,0,0,0,0,39.57
23,7,12,1,23,1,4,6,9,2.17,44,1.33,9408,283.52,13178,397.13,27651,61,31,2,5,0.295,0,0,0,0,33.18
24,7,12,1,24,0,0,2,2,1.0,15,0.96,3484,222.38,3878,247.53,10843,17,7,1,2,0.25,0,0,0,0,15.67
25,1,13,1,25,0,6,5,12,3.6,53,1.55,10708,313.4,43364,1269.19,15908,66,31,2,3,0.667,0,0,0,0,34.17
26,9,13,1,26,0,0,2,2,1.0,17,0.71,4940,207.42,6326,265.61,5090,35,18,2,6,0.333,0,0,0,0,23.82
27,3,13,1,27,1,5,0,15,20.0,34,1.67,7530,369.42,10710,525.43,7435,41,17,6,5,0.645,0,0,0,0,20.38
28,10,14,1,28,1,7,4,2,2.25,247,7.72,15680,490.0,25127,785.22,34974,15,9,0,0,0.243,0,0,0,0,32.0
29,11,15,1,29,1,6,4,25,7.75,45,1.45,11355,364.92,23044,740.57,31423,50,22,4,1,0.756,0,0,0,0,31.12
30,10,15,1,30,1,4,0,2,6.0,115,7.56,6397,420.39,8980,590.14,7540,6,4,0,1,0.316,0,0,0,0,15.22
31,12,15,1,31,0,0,2,2,1.0,41,2.89,3547,250.08,2548,179.65,8682,20,8,3,1,0.333,0,0,0,0,14.18
32,3,15,1,32,1,0,0,0,0.0,1,0.51,555,284.62,55,28.21,651,0,0,0,0,0,0,0,0,0,1.95
33,13,15,1,33,0,3,6,2,0.83,224,8.04,10742,385.71,21718,779.82,17760,14,9,0,2,0.357,0,0,0,0,27.85
34,10,16,1,34,1,4,0,2,6.0,214,8.63,11653,470.2,16474,664.72,16809,12,7,1,2,0.316,0,0,0,0,24.78
35,10,16,1,35,0,2,5,2,0.8,326,8.42,17091,441.44,47682,1231.56,46200,12,8,0,0,0.154,0,0,0,0,38.72
36,10,16,1,36,0,5,6,3,1.33,243,7.03,13909,402.38,28566,826.4,34708,22,12,1,1,0.533,0,0,0,0,34.57
37,14,17,1,37,1,1,2,4,2.5,169,6.95,8545,351.41,4243,174.49,14436,14,5,0,1,0.333,0,0,0,0,24.32
38,13,17,1,38,0,10,5,4,2.8,309,8.22,20136,535.77,47870,1273.7,25382,16,3,0,1,0.304,1,0,0,0,37.58
39,10,17,1,39,1,2,9,1,0.33,256,7.16,14503,405.49,40591,1134.88,40185,13,8,1,1,0.136,0,0,0,0,35.77
40,13,17,1,40,0,9,5,4,2.6,260,7.51,16791,485.06,33786,976.0,21542,24,10,1,2,0.448,1,1,0,0,34.62
41,10,17,1,41,0,2,7,2,0.57,193,6.79,9815,345.4,17400,612.32,30774,12,8,0,2,0.235,0,0,0,0,28.42
