champion_key,champion_id,champion_name,role,icon_url
1,223,TahmKench,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/TahmKench.png
2,90,Malzahar,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Malzahar.png
3,427,Ivern,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Ivern.png
4,64,LeeSin,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/LeeSin.png
5,18,Tristana,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Tristana.png
6,111,Nautilus,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Nautilus.png
7,53,Blitzcrank,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Blitzcrank.png
8,143,Zyra,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Zyra.png
9,412,Thresh,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Thresh.png
10,50,Swain,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Swain.png
11,63,Brand,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Brand.png
12,222,Jinx,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Jinx.png
13,800,Mel,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Mel.png
14,7,Leblanc,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Leblanc.png
15,99,Lux,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Lux.png
16,133,Quinn,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Quinn.png
17,83,Yorick,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Yorick.png
18,420,Illaoi,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Illaoi.png
19,35,Shaco,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Shaco.png
20,67,Vayne,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Vayne.png
21,14,Sion,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Sion.png
22,27,Singed,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Singed.png
23,39,Irelia,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Irelia.png
